,Ceftriaxone
blood-08-0081,0
blood-08-0094,0
blood-08-0215,0
blood-08-0379,0
blood-08-0654,0
blood-08-1203,0
blood-08-1420,1
blood-08-1447,0
blood-08-1463,0
blood-08-1493,0
blood-08-1563rep1,0
blood-08-1636,0
blood-09-0023rep1,0
blood-09-0409,0
blood-09-0428,1
blood-09-0558,0
blood-09-0718,0
blood-09-0751,0
blood-09-0767,0
blood-09-0768,0
blood-09-1290,1
blood-09-1342,0
blood-09-1545,0
blood-10-0040,0
blood-10-0183,0
blood-10-0223,1
blood-10-0682,1
blood-10-0684,0
blood-10-0687,0
blood-10-0913,0
blood-10-1009,0
blood-10-1126,0
blood-10-1215,0
blood-10-1310,0
blood-10-1362,0
blood-10-1386,0
blood-10-1607,0
blood-10-1610,1
blood-11-0067,0
blood-2011-0141,0
blood-2011-0238,1
blood-90544,1
blood-B-11-184,0
s1,1
s10,1
s100,1
s101,1
s103,1
s105,1
s106,1
s107,1
s108,1
s109,1
s110,1
s111,1
s112,1
s114,1
s115,1
s116,1
s117,1
s118,1
s119,1
s120,1
s128,1
s129,1
s130,1
s131,1
s132,1
s133,1
s135,1
s138,1
s141,1
s142,1
s143,1
s144,0
s147,0
s151,1
s152,1
s153,1
s156,1
s157,1
s160,1
s166,1
s167,1
s168,1
s170,1
s172,1
s174,1
s175,1
s177,1
s178,1
s184,1
s314,0
s335,0
s340,1
s375,0
s377,1
s379,1
s388,1
s4,1
s405,0
s414,1
s415,1
s426,1
s427,1
s445,1
s446,1
s447,1
s451,1
s452,1
s463,1
s471,1
s48,0
s480,1
s484,1
s55,1
s65,1
s66,0
s663,1
s667,1
s668,1
s673,1
s679,1
s680,1
s681,1
s702,1
s703,1
s709,1
s723,1
s725,1
s729,1
s73,0
s750,1
s751,1
s752,1
s8,1
s80,1
s87,1
s88,1
s89,1
s90,1
s91,1
s92,1
s94,1
s95,1
s96,1
s97,1
s98,0
upec-100,1
upec-101,0
upec-103,0
upec-104,0
upec-105,0
upec-106,0
upec-108,0
upec-109,0
upec-110,0
upec-111,0
upec-112,0
upec-113,1
upec-114,0
upec-115,0
upec-116,0
upec-117,0
upec-119,0
upec-120,0
upec-121,0
upec-123,0
upec-124,0
upec-125,0
upec-126,0
upec-127,0
upec-128,0
upec-129,0
upec-130,0
upec-131,0
upec-132,0
upec-133,0
upec-134,0
upec-135,0
upec-136,0
upec-137,0
upec-138,0
upec-139,0
upec-140,0
upec-141,0
upec-142,0
upec-143,0
upec-144,0
upec-145,0
upec-146,0
upec-147,0
upec-148,0
upec-15,0
upec-151,0
upec-153,0
upec-154,0
upec-155,0
upec-156,0
upec-157,0
upec-158,0
upec-159,0
upec-161,0
upec-162,0
upec-166,0
upec-169,0
upec-170,0
upec-171,0
upec-172,0
upec-173,0
upec-175,0
upec-176,0
upec-177,0
upec-211,1
upec-220,0
upec-227,0
upec-248,0
upec-259,0
upec-260,0
upec-261,0
upec-271,0
upec-273,0
upec-281,0
upec-54,0
upec-66,0
upec-69,0
upec-88,0
