,Gentamycin
blood-08-0081,1
blood-08-0094,1
blood-08-0215,0
blood-08-0379,0
blood-08-0654,0
blood-08-1203,0
blood-08-1420,0
blood-08-1447,0
blood-08-1463,0
blood-08-1493,0
blood-08-1563rep1,0
blood-08-1636,0
blood-09-0023rep1,0
blood-09-0409,0
blood-09-0428,0
blood-09-0558,1
blood-09-0718,1
blood-09-0751,0
blood-09-0767,0
blood-09-0768,0
blood-09-1290,0
blood-09-1342,0
blood-09-1545,1
blood-10-0040,0
blood-10-0183,0
blood-10-0223,1
blood-10-0682,1
blood-10-0684,0
blood-10-0687,0
blood-10-0913,0
blood-10-1009,1
blood-10-1126,0
blood-10-1215,0
blood-10-1310,0
blood-10-1362,0
blood-10-1386,0
blood-10-1607,0
blood-10-1610,0
blood-11-0067,0
blood-2011-0141,0
blood-2011-0238,0
blood-90544,1
blood-B-11-184,0
s1,0
s10,1
s100,0
s101,0
s103,0
s105,0
s106,1
s107,0
s108,0
s109,0
s110,0
s111,1
s112,1
s114,0
s115,1
s116,1
s117,0
s118,0
s119,0
s120,0
s128,0
s129,0
s130,0
s131,0
s132,0
s133,1
s135,0
s138,1
s141,0
s142,0
s143,1
s144,0
s147,0
s151,0
s152,0
s153,1
s156,0
s157,0
s160,0
s166,0
s167,1
s168,0
s170,0
s172,1
s174,1
s175,0
s177,0
s178,0
s184,0
s314,0
s335,0
s340,1
s375,0
s377,1
s379,0
s388,1
s4,0
s405,0
s414,1
s415,1
s426,1
s427,0
s445,0
s446,1
s447,0
s451,0
s452,0
s463,1
s471,0
s48,0
s480,1
s484,0
s55,0
s65,0
s66,0
s663,0
s667,0
s668,1
s673,1
s679,1
s680,1
s681,0
s702,1
s703,1
s709,0
s723,0
s725,0
s729,0
s73,0
s750,1
s751,1
s752,1
s8,1
s80,0
s87,0
s88,0
s89,1
s90,0
s91,0
s92,0
s94,0
s95,0
s96,0
s97,0
s98,1
upec-100,1
upec-101,0
upec-103,0
upec-104,0
upec-105,0
upec-106,0
upec-108,0
upec-109,0
upec-110,0
upec-111,0
upec-112,0
upec-113,0
upec-114,0
upec-115,0
upec-116,0
upec-117,0
upec-119,0
upec-120,0
upec-121,0
upec-123,0
upec-124,0
upec-125,0
upec-126,0
upec-127,0
upec-128,0
upec-129,0
upec-130,0
upec-131,0
upec-132,0
upec-133,0
upec-134,0
upec-135,0
upec-136,0
upec-137,0
upec-138,0
upec-139,0
upec-14,0
upec-140,0
upec-141,0
upec-142,1
upec-143,1
upec-144,0
upec-145,0
upec-146,1
upec-147,0
upec-148,0
upec-15,0
upec-151,0
upec-153,0
upec-154,0
upec-155,1
upec-156,0
upec-157,0
upec-158,0
upec-159,0
upec-161,0
upec-162,0
upec-166,0
upec-169,0
upec-170,0
upec-171,0
upec-172,0
upec-173,0
upec-175,0
upec-176,0
upec-177,0
upec-179,0
upec-180,0
upec-181,0
upec-182,0
upec-184,0
upec-185,0
upec-186,0
upec-187,0
upec-188,0
upec-193,0
upec-195,0
upec-196,0
upec-197,0
upec-200,0
upec-201,0
upec-203,0
upec-205,0
upec-207,0
upec-208,0
upec-209,0
upec-211,0
upec-212,0
upec-213,0
upec-219,0
upec-220,1
upec-221,0
upec-225,0
upec-226,0
upec-227,1
upec-228,0
upec-229,0
upec-23,0
upec-230,0
upec-232,0
upec-233,0
upec-235,0
upec-236,0
upec-237,0
upec-238,0
upec-239,0
upec-24,0
upec-243,0
upec-244,0
upec-248,1
upec-249,0
upec-250,0
upec-251,0
upec-253,0
upec-254,0
upec-255,0
upec-256,0
upec-257,0
upec-258,0
upec-259,1
upec-260,1
upec-261,1
upec-266,0
upec-269,0
upec-271,1
upec-273,1
upec-274,0
upec-276,0
upec-277,0
upec-281,1
upec-282,0
upec-285,0
upec-286,0
upec-287,0
upec-288,0
upec-289,0
upec-3,0
upec-31,0
upec-33,0
upec-38,0
upec-39,0
upec-4,0
upec-40,0
upec-45,0
upec-48,0
upec-50,0
upec-51,0
upec-54,1
upec-56,0
upec-58,0
upec-59,0
upec-61,0
upec-62,0
upec-65,0
upec-66,1
upec-69,1
upec-70,0
upec-73,0
upec-74,0
upec-75,0
upec-76,0
upec-77,0
upec-78,0
upec-79,0
upec-8,0
upec-80,0
upec-81,0
upec-82,0
upec-83,0
upec-84,0
upec-85,0
upec-87,0
upec-88,1
upec-89,0
upec-9,0
upec-90,0
upec-91,0
upec-93,0
upec-94,0
upec-95,0
upec-97,0
upec-98,0
upec-99,0
